"EmbedSOM1","EmbedSOM2"
7.69594526290894,4.81567907333374
7.9773063659668,4.57424545288086
7.15500640869141,3.81326222419739
6.63627433776855,4.79465913772583
7.43296813964844,4.03743839263916
7.65427732467651,4.32140016555786
6.66235017776489,4.85694074630737
7.20227336883545,4.81351900100708
7.59400081634521,4.80160331726074
7.32544565200806,3.88813710212708
7.4517970085144,4.74689674377441
6.5625524520874,3.59980869293213
7.69202947616577,4.93992185592651
6.42261219024658,3.98756122589111
7.03492498397827,3.86551451683044
6.69087982177734,4.03467750549316
6.53713655471802,3.52789926528931
7.27743434906006,3.99705719947815
7.32514810562134,4.72229433059692
6.42509984970093,3.7087025642395
6.36282396316528,3.53308367729187
8.09233093261719,4.78409099578857
7.98050212860107,4.62560510635376
6.99365711212158,3.66835641860962
6.75741052627563,3.74250292778015
6.28457641601562,4.29090356826782
7.93840742111206,4.7524266242981
7.60251569747925,4.92044448852539
7.10659503936768,4.82395648956299
6.82380676269531,3.58431148529053
7.36391115188599,3.62938404083252
6.71053981781006,3.89713382720947
8.22122669219971,4.72472047805786
8.02621746063232,4.54379940032959
7.14092779159546,3.81056189537048
6.63478469848633,3.70847153663635
7.51178503036499,4.77045154571533
6.90951061248779,3.76433563232422
8.05471038818359,4.82713174819946
6.40737390518188,3.54667901992798
7.97326612472534,4.53202390670776
8.02524375915527,4.66619396209717
7.8422966003418,4.95585870742798
7.5681586265564,4.66256284713745
7.56263589859009,4.70450687408447
7.99898624420166,4.92365264892578
7.64011478424072,4.8308744430542
8.14640998840332,4.67549276351929
7.72230243682861,4.59644556045532
7.66351127624512,4.10187244415283
7.92211294174194,4.46919584274292
6.63274431228638,3.9759464263916
6.64168548583984,4.3921160697937
8.01765060424805,4.62644720077515
6.39481449127197,4.00533103942871
7.79997730255127,4.87038707733154
6.72886419296265,3.41279458999634
7.67430114746094,4.78485918045044
7.96412563323975,4.53512144088745
7.41201591491699,4.30931615829468
8.02994346618652,4.77043581008911
6.712317943573,3.34969711303711
8.02862071990967,4.68464374542236
6.52386665344238,4.12808132171631
7.92351770401001,4.76987361907959
7.18510627746582,4.70222473144531
8.14692687988281,4.72677993774414
8.13434505462646,4.73908519744873
7.01159763336182,3.7629222869873
8.03042888641357,4.61353445053101
7.99833011627197,4.62588453292847
